job_opportunity_id,descricao_vaga_area,inicio_inscricoes,termino_inscricoes,setor_empresa,name,Interesses
2845,Programa de Trainee,2023-05-02 12:34:00.000000,2023-06-05 02:59:00.000000,Agronegócios,Trainee,ALL
2845,Programa de Trainee,2023-05-02 12:34:00.000000,2023-06-05 02:59:00.000000,Agronegócios,Trainee,ALL
2845,Programa de Trainee,2023-05-02 12:34:00.000000,2023-06-05 02:59:00.000000,Agronegócios,Trainee,ALL
2845,Programa de Trainee,2023-05-02 12:34:00.000000,2023-06-05 02:59:00.000000,Agronegócios,Trainee,ALL
2900,Estágio em Marketing,2023-05-22 18:30:00.000000,2023-06-07 02:59:00.000000,Química,Estágio,Marketing / Comunicação
2892,Programa de Estágio,2023-05-24 13:36:59.000000,2023-06-13 02:59:00.000000,"Saúde, Hospitalar e Laboratorial",Estágio,ALL
2896,Estágio em Inovação,2023-05-19 13:31:00.000000,2023-06-12 14:53:00.000000,"Saúde, Hospitalar e Laboratorial",Estágio,Saúde
2898,Estágio em Gestão da Estratégia,2023-05-19 09:43:00.000000,2023-06-12 17:54:00.000000,"Saúde, Hospitalar e Laboratorial",Estágio,Administrativo
2784,Analista de Performance Digital,2023-05-23 17:30:00.000000,2023-06-08 02:59:00.000000,Comércio Varejista,CLT,Marketing / Comunicação
2967,Estágio em Engenharia de Produto - Eletrônica - Curitiba/PR,2023-06-12 20:26:51.278611,2023-06-26 02:59:00.000000,Máquinas e Equipamentos,Estágio,Engenharia
2781,Estágio em Engenharia Química,2023-03-14 18:19:00.000000,2023-03-25 02:59:00.000000,Indústria,Estágio,Engenharia
2812,Estágio em Investment Bank,2023-04-14 15:28:00.000000,2023-06-28 02:59:00.000000,Bancos,Estágio,Administrativo
2922,Estágio em Processos Produtivos,2023-05-26 14:00:00.000000,2023-06-19 02:59:00.000000,Química,Estágio,Produção / Operações
2828,Estágio Compras Desenvolvimento de Produto / Piracicaba,2023-04-17 13:24:00.000000,2023-06-28 02:59:00.000000,Máquinas e Equipamentos,Estágio,Comercial / Vendas
2855,ESTÁGIO EM INTELIGÊNCIA DE MERCADO UNICOBA,2023-06-21 18:01:00.000000,2023-07-05 02:59:00.000000,Energia,Estágio,Administrativo
2902,Estágio Mecanização Agrícola (P&D) - CTC,2023-05-23 17:36:10.000000,2023-06-06 02:59:00.000000,Agronegócios,Estágio,Produção / Operações
2808,Estágio em Sementes | CTC,2023-04-13 12:36:00.000000,2023-05-01 02:59:00.000000,Agronegócios,Estágio,Engenharia
2741,Estágio em DHO (Desenvolvimento Humano Organizacional) | CTC,2023-03-03 19:00:00.000000,2023-03-20 02:59:00.000000,Agronegócios,Estágio,RH
2761,Estágio em Novos Negócios | LIGHTSOURCE BP BRASIL,2023-03-08 12:00:00.000000,2023-05-01 13:07:00.000000,Energia,Estágio,Engenharia
2893,Estágio em Melhoria Contínua,2023-05-22 18:20:00.000000,2023-06-26 02:59:00.000000,Química,Estágio,Engenharia
2953,Manutenção - São José dos Campos/SP,2023-06-06 08:02:00.000000,2023-07-17 02:59:00.000000,Engenharia,Estágio,Produção / Operações
2947,Estágio corporativo Defensivos Brasil,2023-06-12 20:30:00.000000,2023-07-19 02:59:00.000000,Agronegócios,Estágio,Juridico
