user_id,key,superfit_dis,superfit_sin,superfit_cur,superfit_int,superfit_eng,superfit_res
1141566,SF_DS,56.00,54.00,38.00,42.00,38.00,44.00
1143068,SF_DS,68.00,58.00,48.00,48.00,54.00,56.00
1110613,SF_DS,70.00,60.00,52.00,58.00,50.00,54.00
1107827,SF_DS,58.00,60.00,40.00,54.00,50.00,54.00
1080078,SF_DS,56.00,48.00,44.00,46.00,42.00,46.00
1094134,SF_DS,62.00,54.00,36.00,32.00,34.00,52.00
1315246,SF_DS,60.00,52.00,30.00,36.00,46.00,50.00
1126585,SF_DS,56.00,56.00,52.00,48.00,38.00,54.00
1366271,SF_DS,66.00,68.00,54.00,66.00,60.00,58.00
1085744,SF_DS,68.00,60.00,34.00,54.00,40.00,52.00
1104541,SF_DS,56.00,48.00,18.00,38.00,40.00,38.00
1104359,SF_DS,54.00,48.00,36.00,34.00,28.00,42.00
1116483,SF_DS,68.00,50.00,42.00,40.00,46.00,42.00
1369400,SF_DS,68.00,58.00,38.00,48.00,48.00,56.00
1108348,SF_DS,54.00,62.00,42.00,46.00,22.00,46.00
1112917,SF_DS,62.00,54.00,50.00,46.00,36.00,40.00
1110104,SF_DS,56.00,54.00,48.00,46.00,46.00,32.00
1096289,SF_DS,50.00,48.00,46.00,34.00,36.00,24.00
1105198,SF_DS,62.00,46.00,30.00,40.00,40.00,42.00
1000943,SF_DS,60.00,66.00,36.00,32.00,38.00,48.00
1120378,SF_DS,66.00,56.00,32.00,34.00,50.00,52.00
1401959,SF_DS,58.00,46.00,36.00,44.00,42.00,34.00
1302290,SF_DS,54.00,50.00,34.00,46.00,32.00,34.00
1321710,SF_DS,62.00,48.00,40.00,38.00,38.00,34.00
1136032,SF_DS,66.00,64.00,48.00,50.00,40.00,44.00
925672,SF_DS,56.00,60.00,42.00,48.00,46.00,52.00
1128530,SF_DS,64.00,46.00,40.00,42.00,40.00,38.00
1181980,SF_DS,56.00,48.00,42.00,36.00,44.00,40.00
1089509,SF_DS,60.00,54.00,48.00,42.00,46.00,34.00
1087106,SF_DS,48.00,50.00,32.00,46.00,46.00,46.00
1321627,SF_DS,52.00,50.00,30.00,44.00,44.00,40.00
1112801,SF_DS,70.00,50.00,40.00,42.00,44.00,48.00
1369427,SF_DS,76.00,60.00,56.00,44.00,44.00,58.00
1394089,SF_DS,48.00,50.00,38.00,46.00,42.00,40.00
1292641,SF_DS,56.00,52.00,42.00,40.00,34.00,40.00
567870,SF_DS,54.00,48.00,34.00,42.00,36.00,40.00
1364249,SF_DS,56.00,52.00,36.00,50.00,42.00,50.00
1097782,SF_DS,60.00,56.00,44.00,48.00,48.00,54.00
1099748,SF_DS,50.00,44.00,34.00,40.00,30.00,40.00
1088288,SF_DS,56.00,60.00,36.00,48.00,42.00,50.00
1073419,SF_DS,54.00,46.00,24.00,44.00,22.00,36.00
1102548,SF_DS,54.00,66.00,32.00,42.00,50.00,48.00
898101,SF_DS,66.00,60.00,46.00,44.00,54.00,48.00
1080311,SF_DS,64.00,62.00,48.00,44.00,58.00,58.00
1301745,SF_DS,58.00,60.00,50.00,52.00,42.00,54.00
1306837,SF_DS,54.00,60.00,28.00,48.00,46.00,34.00
1125236,SF_DS,54.00,56.00,44.00,44.00,42.00,38.00
1140920,SF_DS,42.00,34.00,26.00,22.00,22.00,24.00
1095879,SF_DS,58.00,60.00,52.00,48.00,52.00,48.00
1393153,SF_DS,58.00,42.00,32.00,30.00,20.00,30.00
1120371,SF_DS,62.00,64.00,36.00,36.00,34.00,60.00
1273287,SF_DS,56.00,62.00,48.00,42.00,50.00,50.00
1146351,SF_DS,66.00,50.00,32.00,44.00,36.00,48.00
1115142,SF_DS,66.00,62.00,54.00,48.00,46.00,54.00
1121274,SF_DS,52.00,50.00,36.00,48.00,36.00,30.00
1074140,SF_DS,60.00,48.00,28.00,46.00,36.00,44.00
864239,SF_DS,66.00,68.00,58.00,56.00,58.00,58.00
1321320,SF_DS,56.00,60.00,36.00,42.00,30.00,38.00
1394354,SF_DS,50.00,48.00,32.00,42.00,36.00,44.00
1140483,SF_DS,58.00,52.00,42.00,44.00,40.00,42.00
1102136,SF_DS,66.00,60.00,48.00,56.00,50.00,50.00
1369056,SF_DS,42.00,48.00,36.00,40.00,34.00,40.00
1281319,SF_DS,62.00,52.00,30.00,42.00,36.00,34.00
1124907,SF_DS,58.00,54.00,46.00,46.00,44.00,52.00
1109178,SF_DS,58.00,62.00,46.00,50.00,42.00,50.00
1133294,SF_DS,58.00,64.00,28.00,40.00,44.00,42.00
1282506,SF_DS,68.00,70.00,40.00,54.00,44.00,52.00
1369718,SF_DS,76.00,54.00,40.00,46.00,40.00,44.00
1117560,SF_DS,46.00,44.00,28.00,40.00,38.00,42.00
1286778,SF_DS,52.00,54.00,46.00,50.00,28.00,36.00
1103453,SF_DS,58.00,50.00,42.00,48.00,36.00,42.00
1115109,SF_DS,64.00,64.00,58.00,56.00,58.00,62.00
794330,SF_DS,62.00,58.00,40.00,54.00,52.00,42.00
1380567,SF_DS,58.00,56.00,36.00,46.00,38.00,46.00
