user_id,name
232597,Tecnologia
232597,Finanças / Contabilidade
232634,Finanças / Contabilidade
232694,Tecnologia
232694,Administrativo
233659,Tecnologia
233659,Jurídico
233659,Administrativo
233659,Finanças / Contabilidade
233824,Engenharia
233824,Administrativo
233824,Finanças / Contabilidade
233824,Produção / Operações
233824,Logistica / Supply Chain
235238,Logistica / Supply Chain
235238,Produção / Operações
235238,Finanças / Contabilidade
235238,Comercial / Vendas
235238,Marketing / Comunicação
235238,Tecnologia
235238,RH
235459,Engenharia
235459,Tecnologia
235459,Administrativo
235459,Logistica / Supply Chain
236439,Tecnologia
236439,RH
236439,Administrativo
236439,Finanças / Contabilidade
236439,Produção / Operações
236439,Logistica / Supply Chain
236648,Comercial / Vendas
236648,Engenharia
236648,Tecnologia
236648,Produção / Operações
236648,Logistica / Supply Chain
237028,Engenharia
237028,Administrativo
237028,Finanças / Contabilidade
237028,Logistica / Supply Chain
237165,Tecnologia
237335,Jurídico
237335,Administrativo
239354,Produção / Operações
239354,Logistica / Supply Chain
239354,Comercial / Vendas
239354,Tecnologia
239354,RH
239354,Finanças / Contabilidade
239660,Logistica / Supply Chain
239660,Produção / Operações
239786,Produção / Operações
239786,Logistica / Supply Chain
239786,Comercial / Vendas
239786,Finanças / Contabilidade
240279,Produção / Operações
240337,Marketing / Comunicação
240710,Engenharia
240710,Produção / Operações
240710,Logistica / Supply Chain
241360,Tecnologia
241360,Marketing / Comunicação
241864,RH
241864,Jurídico
241864,Administrativo
241864,Marketing / Comunicação
242002,RH
242002,Administrativo
242002,Marketing / Comunicação
242002,Logistica / Supply Chain
242050,Comercial / Vendas
242050,RH
242050,Administrativo
242050,Finanças / Contabilidade
242773,Engenharia
242773,Tecnologia
242773,RH
242773,Marketing / Comunicação
242773,Finanças / Contabilidade
242773,Produção / Operações
242773,Logistica / Supply Chain
243964,Logistica / Supply Chain
243964,RH
243964,Finanças / Contabilidade
244947,Marketing / Comunicação
244947,Tecnologia
245488,Tecnologia
245488,Finanças / Contabilidade
246068,Administrativo
246068,Marketing / Comunicação
246068,Produção / Operações
246953,Logistica / Supply Chain
246953,Comercial / Vendas
246953,Marketing / Comunicação
247992,Comercial / Vendas
247992,Engenharia
247992,Tecnologia
247992,Administrativo
247992,Finanças / Contabilidade
247992,Produção / Operações
247992,Logistica / Supply Chain
248290,Engenharia
248290,RH
248290,Administrativo
248290,Produção / Operações
248443,Jurídico
248443,Administrativo
248443,Finanças / Contabilidade
249034,Comercial / Vendas
249034,Administrativo
249034,Finanças / Contabilidade
249034,Produção / Operações
249034,Logistica / Supply Chain
249605,Logistica / Supply Chain
249605,Comercial / Vendas
249605,Marketing / Comunicação
249605,Tecnologia
249605,RH
254581,Comercial / Vendas
254581,RH
254581,Administrativo
254581,Produção / Operações
256502,Comercial / Vendas
256502,Saúde
256502,Administrativo
256502,Finanças / Contabilidade
256882,Comercial / Vendas
256882,RH
256882,Saúde
256882,Administrativo
256882,Produção / Operações
259867,Engenharia
259867,Administrativo
259867,Marketing / Comunicação
259867,Produção / Operações
261212,Comercial / Vendas
261212,Tecnologia
261212,Administrativo
261212,Marketing / Comunicação
261212,Produção / Operações
261212,Logistica / Supply Chain
264713,Comercial / Vendas
264713,Engenharia
264713,Tecnologia
264713,Administrativo
264713,Produção / Operações
264713,Logistica / Supply Chain
265725,Engenharia
265725,Tecnologia
265725,Administrativo
265725,Finanças / Contabilidade
265725,Logistica / Supply Chain
265936,Marketing / Comunicação
266448,Marketing / Comunicação
266448,Tecnologia
266448,RH
266620,Logistica / Supply Chain
266620,Finanças / Contabilidade
266620,Marketing / Comunicação
266620,Tecnologia
266620,RH
267287,Engenharia
267287,Administrativo
267287,Produção / Operações
267287,Logistica / Supply Chain
268227,Comercial / Vendas
268227,Engenharia
268227,Tecnologia
268227,Finanças / Contabilidade
268227,Produção / Operações
270054,Engenharia
270054,Tecnologia
270054,Administrativo
270054,Produção / Operações
270054,Logistica / Supply Chain
270697,Tecnologia
270697,Marketing / Comunicação
270697,Produção / Operações
272050,Jurídico
272050,Administrativo
272050,Marketing / Comunicação
272050,Logistica / Supply Chain
272688,Tecnologia
272688,Administrativo
272688,Finanças / Contabilidade
272688,Produção / Operações
273478,Comercial / Vendas
273478,Jurídico
273478,Administrativo
273478,Finanças / Contabilidade
273844,Logistica / Supply Chain
273844,Finanças / Contabilidade
273844,Produção / Operações
273844,Comercial / Vendas
273844,Marketing / Comunicação
273844,RH
273950,Produção / Operações
273950,Finanças / Contabilidade
273950,Marketing / Comunicação
274488,Engenharia
274488,Produção / Operações
274488,Logistica / Supply Chain
274998,Administrativo
274998,Logistica / Supply Chain
275179,Comercial / Vendas
275179,Engenharia
275179,Produção / Operações
276577,Produção / Operações
276710,Comercial / Vendas
276710,Engenharia
276710,Finanças / Contabilidade
276710,Produção / Operações
277037,Engenharia
277037,Tecnologia
277037,Marketing / Comunicação
277576,Comercial / Vendas
277576,RH
277576,Administrativo
277576,Marketing / Comunicação
277576,Produção / Operações
277576,Logistica / Supply Chain
279123,Produção / Operações
279123,Logistica / Supply Chain
279123,Finanças / Contabilidade
279236,Comercial / Vendas
279236,Engenharia
279236,Tecnologia
279236,Administrativo
279236,Finanças / Contabilidade
279236,Produção / Operações
279236,Logistica / Supply Chain
279716,RH
279716,Saúde
279716,Administrativo
281452,Administrativo
281452,Finanças / Contabilidade
283212,Jurídico
286877,Logistica / Supply Chain
286877,Produção / Operações
286877,Comercial / Vendas
287144,Finanças / Contabilidade
287144,Comercial / Vendas
287144,Marketing / Comunicação
287144,Tecnologia
287782,Tecnologia
287782,Finanças / Contabilidade
287782,Produção / Operações
287933,Comercial / Vendas
287933,Engenharia
287933,Finanças / Contabilidade
287933,Logistica / Supply Chain
290361,Comercial / Vendas
290361,Engenharia
290361,Administrativo
290361,Finanças / Contabilidade
290361,Produção / Operações
290361,Logistica / Supply Chain
290413,Tecnologia
290413,Marketing / Comunicação
290413,Produção / Operações
293318,Marketing / Comunicação
293318,RH
294361,Logistica / Supply Chain
294361,Finanças / Contabilidade
294394,Logistica / Supply Chain
294394,Produção / Operações
294394,Tecnologia
303556,Tecnologia
304349,Tecnologia
304349,RH
308640,Finanças / Contabilidade
308640,Comercial / Vendas
308640,Marketing / Comunicação
311420,Comercial / Vendas
311420,Saúde
311420,Marketing / Comunicação
314267,Tecnologia
314267,Administrativo
314267,Marketing / Comunicação
314267,Produção / Operações
322222,Administrativo
322222,Marketing / Comunicação
322646,Comercial / Vendas
322646,Tecnologia
322646,RH
322646,Administrativo
322646,Marketing / Comunicação
322646,Finanças / Contabilidade
322646,Produção / Operações
322646,Logistica / Supply Chain
323140,Engenharia
323140,Tecnologia
323419,Engenharia
323419,Tecnologia
323419,Administrativo
323419,Produção / Operações
323419,Logistica / Supply Chain
323452,Produção / Operações
323452,Tecnologia
323822,RH
324582,Tecnologia
324582,RH
324582,Jurídico
324582,Administrativo
324582,Finanças / Contabilidade
324813,RH
324813,Jurídico
324813,Administrativo
324813,Finanças / Contabilidade
325219,Logistica / Supply Chain
325219,Produção / Operações
325219,Finanças / Contabilidade
325219,Comercial / Vendas
325219,Marketing / Comunicação
325219,RH
325591,Produção / Operações
325591,Marketing / Comunicação
325591,Tecnologia
326025,Comercial / Vendas
326025,Marketing / Comunicação
326025,Produção / Operações
329394,Comercial / Vendas
329394,Engenharia
329394,Marketing / Comunicação
329394,Produção / Operações
329394,Logistica / Supply Chain
329501,Comercial / Vendas
329501,Jurídico
329501,Finanças / Contabilidade
330574,Logistica / Supply Chain
330574,Finanças / Contabilidade
330574,Tecnologia
330574,RH
330931,Marketing / Comunicação
330931,RH
331199,Engenharia
331199,Tecnologia
331199,Produção / Operações
331199,Logistica / Supply Chain
331390,Comercial / Vendas
331390,Engenharia
331390,Marketing / Comunicação
331390,Produção / Operações
331390,Logistica / Supply Chain
331783,Logistica / Supply Chain
331783,Marketing / Comunicação
331783,Tecnologia
331783,RH
332143,Engenharia
332143,RH
332143,Administrativo
332143,Finanças / Contabilidade
332143,Logistica / Supply Chain
333189,Comercial / Vendas
333189,Tecnologia
333189,Administrativo
333189,Finanças / Contabilidade
